架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O3,1800,算法1_展开,0.007498
x86_64,O3,1800,算法2,0.001826
x86_64,O3,1800,算法2_展开,0.001765
x86_64,O3,1900,算法1,0.007619
x86_64,O3,1900,算法1_展开,0.008647
x86_64,O3,1900,算法2,0.002094
x86_64,O3,1900,算法2_展开,0.002028
x86_64,O3,2000,算法1,0.011195
x86_64,O3,2000,算法1_展开,0.011320
x86_64,O3,2000,算法2,0.002548
x86_64,O3,2000,算法2_展开,0.002307
x86_64,O3,2100,算法1,0.011147
x86_64,O3,2100,算法1_展开,0.010948
x86_64,O3,2100,算法2,0.002551
x86_64,O3,2100,算法2_展开,0.002676
x86_64,O3,2200,算法1,0.014581
x86_64,O3,2200,算法1_展开,0.015576
x86_64,O3,2200,算法2,0.002703
x86_64,O3,2200,算法2_展开,0.002956
x86_64,O3,2300,算法1,0.016189
x86_64,O3,2300,算法1_展开,0.017088
x86_64,O3,2300,算法2,0.003425
x86_64,O3,2300,算法2_展开,0.003220
x86_64,O3,2400,算法1,0.018322
x86_64,O3,2400,算法1_展开,0.019256
x86_64,O3,2400,算法2,0.003557
x86_64,O3,2400,算法2_展开,0.003715
x86_64,O3,2500,算法1,0.020923
x86_64,O3,2500,算法1_展开,0.022526
x86_64,O3,2500,算法2,0.003611
x86_64,O3,2500,算法2_展开,0.003749
x86_64,O3,2600,算法1,0.022570
x86_64,O3,2600,算法1_展开,0.024110
x86_64,O3,2600,算法2,0.004173
x86_64,O3,2600,算法2_展开,0.003905
x86_64,O3,2700,算法1,0.026066
x86_64,O3,2700,算法1_展开,0.027657
x86_64,O3,2700,算法2,0.004615
x86_64,O3,2700,算法2_展开,0.004476
x86_64,O3,2800,算法1,0.028066
x86_64,O3,2800,算法1_展开,0.029439
x86_64,O3,2800,算法2,0.004660
x86_64,O3,2800,算法2_展开,0.004337
x86_64,O3,2900,算法1,0.030671
x86_64,O3,2900,算法1_展开,0.032110
x86_64,O3,2900,算法2,0.004921
x86_64,O3,2900,算法2_展开,0.005175
x86_64,O3,3000,算法1,0.031317
x86_64,O3,3000,算法1_展开,0.032904
x86_64,O3,3000,算法2,0.005649
x86_64,O3,3000,算法2_展开,0.005310
x86_64,O3,3100,算法1,0.036714
x86_64,O3,3100,算法1_展开,0.039251
x86_64,O3,3100,算法2,0.005582
x86_64,O3,3100,算法2_展开,0.005990
x86_64,O3,3200,算法1,0.039290
x86_64,O3,3200,算法1_展开,0.041590
x86_64,O3,3200,算法2,0.006318
x86_64,O3,3200,算法2_展开,0.006351
x86_64,O3,3300,算法1,0.041389
x86_64,O3,3300,算法1_展开,0.044709
x86_64,O3,3300,算法2,0.006895
x86_64,O3,3300,算法2_展开,0.007216
x86_64,O3,3400,算法1,0.047180
x86_64,O3,3400,算法1_展开,0.049816
x86_64,O3,3400,算法2,0.006841
x86_64,O3,3400,算法2_展开,0.007565
x86_64,O3,3500,算法1,0.050374
x86_64,O3,3500,算法1_展开,0.053324
x86_64,O3,3500,算法2,0.008239
x86_64,O3,3500,算法2_展开,0.007708
x86_64,O3,3600,算法1,0.055327
x86_64,O3,3600,算法1_展开,0.058220
x86_64,O3,3600,算法2,0.008504
x86_64,O3,3600,算法2_展开,0.008164
x86_64,O3,3700,算法1,0.057616
x86_64,O3,3700,算法1_展开,0.061892
x86_64,O3,3700,算法2,0.008443
x86_64,O3,3700,算法2_展开,0.008529
x86_64,O3,3800,算法1,0.355287
x86_64,O3,3800,算法1_展开,0.064564
x86_64,O3,3800,算法2,0.009104
x86_64,O3,3800,算法2_展开,0.009493
x86_64,O3,3900,算法1,0.070094
x86_64,O3,3900,算法1_展开,0.074408
x86_64,O3,3900,算法2,0.009640
x86_64,O3,3900,算法2_展开,0.009771
x86_64,O3,4000,算法1,0.073887
x86_64,O3,4000,算法1_展开,0.077716
x86_64,O3,4000,算法2,0.010316
x86_64,O3,4000,算法2_展开,0.010618
x86_64,O3_native,100,算法1,
x86_64,O3_native,100,算法1_展开,
x86_64,O3_native,100,算法2,
x86_64,O3_native,100,算法2_展开,
x86_64,O3_native,200,算法1,
x86_64,O3_native,200,算法1_展开,
x86_64,O3_native,200,算法2,
x86_64,O3_native,200,算法2_展开,
x86_64,O3_native,300,算法1,
x86_64,O3_native,300,算法1_展开,
x86_64,O3_native,300,算法2,
